Municipios;Populacao
Adamantina;33797
Adolfo;3557
Aguaí;32148
Águas da Prata;7584
Águas de Lindóia;17266
Águas de Santa Bárbara;5601
Águas de São Pedro;2707
Agudos;34524
Alambari;4884
Alfredo Marcondes;3891
Altair;3815
Altinópolis;15607
Alto Alegre;4102
Alumínio;16839
Álvares Florence;3897
Álvares Machado;23513
Álvaro de Carvalho;4650
Alvinlândia;3000
Americana;210638
Américo Brasiliense;34478
Américo de Campos;5706
Amparo;65829
Analândia;4293
Andradina;55334
Angatuba;22210
Anhembi;5653
Anhumas;3738
Aparecida;35007
Aparecida d'Oeste;4450
Apiaí;25191
Araçariguama;17080
Araçatuba;181579
Araçoiaba da Serra;27299
Aramina;5152
Arandu;6123
Arapeí;2493
Araraquara;208662
Araras;118843
Arco-Íris;1925
Arealva;7841
Areias;3696
Areiópolis;10579
Ariranha;8547
Artur Nogueira;44177
Arujá;74905
Aspásia;1809
Assis;95144
Atibaia;126603
Auriflama;14202
Avaí;4959
Avanhandava;11310
Avaré;82934
Bady Bassitt;14603
Balbinos;3702
Bálsamo;8160
Bananal;10223
Barão de Antonina;3116
Barbosa;6593
Bariri;31593
Barra Bonita;35246
Barra do Chapéu;5244
Barra do Turvo;7729
Barretos;112101
Barrinha;28496
Barueri;240749
Bastos;20445
Batatais;56476
Bauru;343937
Bebedouro;75035
Bento de Abreu;2674
Bernardino de Campos;10775
Bertioga;47645
Bilac;7048
Birigui;108728
Biritiba-Mirim;28575
Boa Esperança do Sul;13645
Bocaina;10859
Bofete;9618
Boituva;48314
Bom Jesus dos Perdões;19708
Bom Sucesso de Itararé;3571
Borá;805
Boracéia;4268
Borborema;14529
Borebi;2293
Botucatu;127328
Bragança Paulista;146744
Braúna;5021
Brejo Alegre;2573
Brodowski;21107
Brotas;21580
Buri;18563
Buritama;15418
Buritizal;4053
Cabrália Paulista;4365
Cabreúva;41604
Caçapava;84752
Cachoeira Paulista;30091
Caconde;18538
Cafelândia;16607
Caiabu;4072
Caieiras;86529
Caiuá;5039
Cajamar;64114
Cajati;28372
Cajobi;9768
Cajuru;23371
Campina do Monte Alegre;5567
Campinas;1080113
Campo Limpo Paulista;74074
Campos do Jordão;47789
Campos Novos Paulista;4539
Cananéia;12226
Canas;4385
Cândido Mota;29884
Cândido Rodrigues;2668
Canitar;4369
Capão Bonito;46178
Capela do Alto;17532
Capivari;48576
Caraguatatuba;100840
Carapicuíba;369584
Cardoso;11805
Casa Branca;28307
Cássia dos Coqueiros;2634
Castilho;18003
Catanduva;112820
Catiguá;7127
Cedral;7972
Cerqueira César;17532
Cerquilho;39617
Cesário Lange;15540
Charqueada;15085
Chavantes;12114
Clementina;7065
Colina;17371
Colômbia;5994
Conchal;25229
Conchas;16288
Cordeirópolis;21080
Coroados;5238
Coronel Macedo;5001
Corumbataí;3874
Cosmópolis;58827
Cosmorama;7214
Cotia;201150
Cravinhos;31691
Cristais Paulista;7588
Cruzália;2274
Cruzeiro;77039
Cubatão;118720
Cunha;21866
Descalvado;31056
Diadema;386089
Dirce Reis;1689
Divinolândia;11208
Dobrada;7939
Dois Córregos;24761
Dolcinópolis;2096
Dourado;8609
Dracena;43258
Duartina;12251
Dumont;8143
Echaporã;6318
Eldorado;14641
Elias Fausto;15775
Elisiário;3120
Embaúba;2423
Embu;240230
Embu-Guaçu;62769
Emilianópolis;3020
Engenheiro Coelho;15721
Espírito Santo do Pinhal;41907
Espírito Santo do Turvo;4244
Estiva Gerbi;10044
Estrela do Norte;2658
Estrela d'Oeste;8208
Euclides da Cunha Paulista;9585
Fartura;15320
Fernando Prestes;5534
Fernandópolis;64696
Fernão;1563
Ferraz de Vasconcelos;168306
Flora Rica;1752
Floreal;3003
Flórida Paulista;12848
Florínia;2829
Franca;318640
Francisco Morato;154472
Franco da Rocha;131604
Gabriel Monteiro;2708
Gália;7011
Garça;43115
Gastão Vidigal;4193
Gavião Peixoto;4419
General Salgado;10669
Getulina;10765
Glicério;4565
Guaiçara;10670
Guaimbê;5425
Guaíra;37404
Guapiaçu;17869
Guapiara;17998
Guará;19858
Guaraçaí;8435
Guaraci;9976
Guarani d'Oeste;1970
Guarantã;6404
Guararapes;30597
Guararema;25844
Guaratinguetá;112072
Guareí;14565
Guariba;35486
Guarujá;290752
Guarulhos;1221979
Guatapará;6966
Guzolândia;4754
Herculândia;8696
Holambra;11299
Hortolândia;192692
Iacanga;10013
Iacri;6419
Iaras;6376
Ibaté;30734
Ibirá;10896
Ibirarema;6725
Ibitinga;53158
Ibiúna;71217
Icém;7462
Iepê;7628
Igaraçu do Tietê;23362
Igarapava;27952
Igaratá;8831
Iguape;28841
Ilha Comprida;9025
Ilha Solteira;25064
Ilhabela;28196
Indaiatuba;201619
Indiana;4825
Indiaporã;3903
Inúbia Paulista;3630
Ipaussu;13663
Iperó;28300
Ipeúna;6016
Ipiguá;4463
Iporanga;4299
Ipuã;14148
Iracemápolis;20029
Irapuã;7275
Irapuru;7789
Itaberá;17858
Itaí;24008
Itajobi;14556
Itaju;3246
Itanhaém;87057
Itaóca;3228
Itapecerica da Serra;152614
Itapetininga;144377
Itapeva;87753
Itapevi;200769
Itapira;68537
Itapirapuã Paulista;3880
Itápolis;40051
Itaporanga;14549
Itapuí;12173
Itapura;4357
Itaquaquecetuba;321770
Itararé;47934
Itariri;15471
Itatiba;101471
Itatinga;18052
Itirapina;15524
Itirapuã;5914
Itobi;7546
Itu;154147
Itupeva;44859
Ituverava;38695
Jaborandi;6592
Jaboticabal;71662
Jacareí;211214
Jaci;5657
Jacupiranga;17208
Jaguariúna;44311
Jales;47012
Jambeiro;5349
Jandira;108344
Jardinópolis;37661
Jarinu;23847
Jaú;131040
Jeriquara;3160
Joanópolis;11768
João Ramalho;4150
José Bonifácio;32763
Júlio Mesquita;4430
Jumirim;2798
Jundiaí;370126
Junqueirópolis;18726
Juquiá;19246
Juquitiba;28737
Lagoinha;4841
Laranjal Paulista;25251
Lavínia;8779
Lavrinhas;6590
Leme;91756
Lençóis Paulista;61428
Limeira;276022
Lindóia;6712
Lins;71432
Lorena;82537
Lourdes;2128
Louveira;37125
Lucélia;19882
Lucianópolis;2249
Luís Antônio;11286
Luiziânia;5030
Lupércio;4353
Lutécia;2714
Macatuba;16259
Macaubal;7663
Macedônia;3664
Magda;3200
Mairinque;43223
Mairiporã;80956
Manduri;8992
Marabá Paulista;4812
Maracaí;13332
Marapoama;2633
Mariápolis;3916
Marília;216745
Marinópolis;2113
Martinópolis;24219
Matão;76786
Mauá;417064
Mendonça;4640
Meridiano;3855
Mesópolis;1886
Miguelópolis;20451
Mineiros do Tietê;12038
Mira Estrela;2820
Miracatu;20592
Mirandópolis;27483
Mirante do Paranapanema;17059
Mirassol;53792
Mirassolândia;4295
Mococa;66290
Mogi das Cruzes;387779
Mogi Guaçu;137245
Moji Mirim;86505
Mombuca;3266
Monções;2132
Mongaguá;46293
Monte Alegre do Sul;7152
Monte Alto;46642
Monte Aprazível;21746
Monte Azul Paulista;18931
Monte Castelo;4063
Monte Mor;48949
Monteiro Lobato;4120
Morro Agudo;29116
Morungaba;11769
Motuca;4290
Murutinga do Sul;4186
Nantes;2707
Narandiba;4288
Natividade da Serra;6678
Nazaré Paulista;16414
Neves Paulista;8772
Nhandeara;10725
Nipoã;4274
Nova Aliança;5891
Nova Campina;8515
Nova Canaã Paulista;2114
Nova Castilho;1125
Nova Europa;9300
Nova Granada;19180
Nova Guataporanga;2177
Nova Independência;3068
Nova Luzitânia;3441
Nova Odessa;51242
Novais;4592
Novo Horizonte;36593
Nuporanga;6817
Ocauçu;4163
Óleo;2673
Olímpia;50024
Onda Verde;3884
Oriente;6097
Orindiúva;5675
Orlândia;39781
Osasco;666740
Oscar Bressane;2537
Osvaldo Cruz;30917
Ourinhos;103035
Ouro Verde;7800
Ouroeste;8405
Pacaembu;13226
Palestina;11051
Palmares Paulista;10934
Palmeira d'Oeste;9584
Palmital;21186
Panorama;14583
Paraguaçu Paulista;42278
Paraibuna;17388
Paraíso;5898
Paranapanema;17808
Paranapuã;3815
Parapuã;10844
Pardinho;5582
Pariquera-Açu;18446
Parisi;2032
Patrocínio Paulista;13000
Paulicéia;6339
Paulínia;82146
Paulistânia;1779
Paulo de Faria;8589
Pederneiras;41497
Pedra Bela;5780
Pedranópolis;2558
Pedregulho;15700
Pedreira;41558
Pedrinhas Paulista;2940
Pedro de Toledo;10204
Penápolis;58510
Pereira Barreto;24962
Pereiras;7454
Peruíbe;59773
Piacatu;5287
Piedade;52143
Pilar do Sul;26406
Pindamonhangaba;146995
Pindorama;15039
Pinhalzinho;13105
Piquerobi;3537
Piquete;14107
Piracaia;25116
Piracicaba;364571
Piraju;28475
Pirajuí;22704
Pirangi;10623
Pirapora do Bom Jesus;15733
Pirapozinho;24694
Pirassununga;70081
Piratininga;12072
Pitangueiras;35307
Planalto;4463
Platina;3192
Poá;106013
Poloni;5395
Pompéia;19964
Pongaí;3481
Pontal;40244
Pontalinda;4074
Pontes Gestal;2518
Populina;4223
Porangaba;8326
Porto Feliz;48893
Porto Ferreira;51400
Potim;19397
Potirendaba;15449
Pracinha;2858
Pradópolis;17377
Praia Grande;262051
Pratânia;4599
Presidente Alves;4123
Presidente Bernardes;13570
Presidente Epitácio;41318
Presidente Prudente;207610
Presidente Venceslau;37910
Promissão;35674
Quadra;3236
Quatá;12799
Queiroz;2808
Queluz;11309
Quintana;6004
Rafard;8612
Rancharia;28804
Redenção da Serra;3873
Regente Feijó;18494
Reginópolis;7323
Registro;54261
Restinga;6587
Ribeira;3358
Ribeirão Bonito;12135
Ribeirão Branco;18269
Ribeirão Corrente;4273
Ribeirão do Sul;4446
Ribeirão dos Índios;2187
Ribeirão Grande;7422
Ribeirão Pires;113068
Ribeirão Preto;604682
Rifaina;3436
Rincão;10414
Rinópolis;9935
Rio Claro;186253
Rio das Pedras;29501
Rio Grande da Serra;43974
Riolândia;10575
Riversul;6163
Rosana;19691
Roseira;9599
Rubiácea;2729
Rubinéia;2862
Sabino;5217
Sagres;2395
Sales;5451
Sales Oliveira;10568
Salesópolis;15635
Salmourão;4818
Saltinho;7059
Salto;105516
Salto de Pirapora;40132
Salto Grande;8787
Sandovalina;3699
Santa Adélia;14333
Santa Albertina;5723
Santa Bárbara d'Oeste;180009
Santa Branca;13763
Santa Clara d'Oeste;2084
Santa Cruz da Conceição;4002
Santa Cruz da Esperança;1953
Santa Cruz das Palmeiras;29932
Santa Cruz do Rio Pardo;43921
Santa Ernestina;5568
Santa Fé do Sul;29239
Santa Gertrudes;21634
Santa Isabel;50453
Santa Lúcia;8248
Santa Maria da Serra;5413
Santa Mercedes;2831
Santa Rita do Passa Quatro;26478
Santa Rita d'Oeste;2543
Santa Rosa de Viterbo;23862
Santa Salete;1447
Santana da Ponte Pensa;1641
Santana de Parnaíba;108813
Santo Anastácio;20475
Santo André;676407
Santo Antônio da Alegria;6304
Santo Antônio de Posse;20650
Santo Antônio do Aracanguá;7626
Santo Antônio do Jardim;5943
Santo Antônio do Pinhal;6486
Santo Expedito;2803
Santópolis do Aguapeí;4277
Santos;419400
São Bento do Sapucaí;10468
São Bernardo do Campo;765463
São Caetano do Sul;149263
São Carlos;221950
São Francisco;2793
São João da Boa Vista;83639
São João das Duas Pontes;2566
São João de Iracema;1780
São João do Pau d'Alho;2103
São Joaquim da Barra;46512
São José da Bela Vista;8406
São José do Barreiro;4077
São José do Rio Pardo;51900
São José do Rio Preto;408258
São José dos Campos;629921
São Lourenço da Serra;13973
São Luís do Paraitinga;10397
São Manuel;38342
São Miguel Arcanjo;31450
São Paulo;11253503
São Pedro;31662
São Pedro do Turvo;7198
São Roque;78821
São Sebastião;73942
São Sebastião da Grama;12099
São Simão;14346
São Vicente;332445
Sarapuí;9027
Sarutaiá;3622
Sebastianópolis do Sul;3031
Serra Azul;11256
Serra Negra;26387
Serrana;38878
Sertãozinho;110074
Sete Barras;13005
Severínia;15501
Silveiras;5792
Socorro;36686
Sorocaba;586625
Sud Mennucci;7435
Sumaré;241311
Suzanápolis;3383
Suzano;262480
Tabapuã;11363
Tabatinga;14686
Taboão da Serra;244528
Taciba;5714
Taguaí;10828
Taiaçu;5894
Taiúva;5447
Tambaú;22406
